,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,4.1768,4.1766,3.9742,3.9542,3.9392,3.9271,3.9163,3.907,3.8985,3.8909,3.8836,3.8768,3.8705,3.864,3.8583,3.8526,3.8472,3.842,3.8368,3.8317,3.827,3.8222,3.8176,3.8131,3.8083,3.8037,3.7991,3.7947,3.79,3.7855,3.7808,3.7762,3.7718,3.7674,3.7633,3.7588,3.7547,3.7505,3.7463,3.742,3.738,3.7343,3.7305,3.7266,3.7227,3.719,3.7151,3.7113,3.7077,3.7039
1,4.1761,4.1763,3.9739999999999998,3.9539999999999997,3.9388,3.9268,3.9161,3.9067,3.8982,3.8904,3.8829,3.8766,3.8699,3.8637,3.8577,3.8519,3.8463,3.841,3.8357,3.8309,3.8261,3.8213,3.8166,3.8119,3.8073,3.8026,3.7979,3.7934,3.7886,3.7838,3.7794,3.7746,3.7698,3.7653,3.7608,3.7567,3.752,3.7474,3.7434,3.7393,3.7352,3.7311,3.7272,3.7232,3.7193,3.7152,3.7113,3.7075,3.7036,3.7
2,4.1764,4.1762,3.9715,3.9509,3.9354,3.9226,3.9118,3.9021,3.8933,3.8852,3.8776,3.8708,3.8642,3.858,3.8517,3.846,3.8404,3.835,3.83,3.8249,3.8197,3.8152,3.8103,3.8056,3.8008,3.7962,3.7915,3.7866,3.7817,3.7769999999999997,3.7721,3.7675,3.7626,3.7581,3.7535,3.7489,3.7447,3.7401,3.7357,3.7314,3.7271,3.7231,3.7188,3.7147,3.7108,3.7069,3.7027,3.6988,3.6948,3.6908
3,4.1765,4.1767,3.9733,3.9532,3.9383,3.926,3.9154,3.9061,3.8978,3.8901,3.8829,3.8761,3.8693,3.8635,3.8575,3.8519,3.8463,3.8413,3.8360000000000003,3.8310000000000004,3.8265,3.8217,3.8172,3.8125,3.8079,3.8033,3.7989,3.7941,3.7896,3.785,3.7803,3.7755,3.7707,3.7661,3.7616,3.7571,3.7528,3.7486,3.7442,3.7397,3.7356,3.7314,3.7276,3.7236,3.7198,3.7156,3.7116,3.7079,3.7041,3.7001
4,4.1763,4.1759,3.9686,3.9477,3.9321,3.9192,3.9086,3.8989999999999996,3.8901,3.8823,3.8751,3.8679,3.8613,3.8551,3.8492,3.8435,3.8377,3.8326,3.8276,3.8226,3.8178,3.8132,3.8086,3.8036,3.799,3.7942,3.7894,3.7847,3.78,3.7749,3.7701,3.7653,3.7604,3.7556,3.7509,3.7462,3.7417,3.737,3.7326,3.7283,3.7239999999999998,3.7198,3.7156,3.7112,3.7075,3.7034,3.6992,3.695,3.6914,3.6872
5,4.1864,4.1865,3.9906,3.9754,3.964,3.9539999999999997,3.9462,3.9389,3.932,3.9256,3.92,3.9146,3.9095,3.905,3.9003,3.8961,3.8917,3.8876,3.8838,3.8798,3.8765,3.8729,3.8696,3.8661,3.8629,3.8594,3.8566,3.8535,3.8505,3.8474,3.8446,3.8418,3.8391,3.8363,3.8337,3.8310000000000004,3.8285,3.8259,3.8233,3.821,3.8186,3.8161,3.8136,3.8113,3.8089,3.8065,3.8041,3.8016,3.7991,3.7966
6,4.1845,4.1847,3.9838,3.9678,3.9556,3.9454,3.9365,3.9285,3.9214,3.9149,3.9091,3.9033,3.8981,3.8929,3.888,3.8836,3.8792,3.875,3.8710000000000004,3.867,3.8634,3.8597,3.8563,3.8528,3.8496,3.8463,3.8429,3.8399,3.8368,3.8339,3.8311,3.8284,3.8254,3.8229,3.8201,3.8176,3.815,3.8122,3.8099,3.8073,3.805,3.8021,3.7998,3.7973,3.7948,3.7921,3.7895,3.7871,3.7845,3.7818
7,4.1755,4.1756,3.9589,3.9357,3.9188,3.905,3.8929,3.8827,3.8733,3.8649,3.8571,3.8499,3.8431,3.8369,3.8306,3.8249,3.8196,3.8144,3.8092,3.8044,3.7995,3.7947,3.7896,3.7847,3.7795,3.7744,3.7689,3.7635,3.7579,3.7523,3.7467,3.741,3.7352,3.7296,3.7242,3.7189,3.7139,3.7089999999999996,3.7042,3.6994,3.6948,3.6904,3.6856,3.6813,3.6767,3.6724,3.6677,3.6633,3.6589,3.6545
8,4.1729,4.1729,3.9786,3.9638,3.9526,3.9431,3.9351,3.9278,3.9213,3.9153,3.9097,3.9047,3.8996,3.8948,3.8905,3.8862,3.8822,3.8784,3.8745,3.8709,3.8673,3.864,3.8606,3.8572,3.8539999999999996,3.8509,3.8481,3.8449,3.8422,3.8394,3.8367,3.8341,3.8315,3.8291,3.8265,3.8239,3.8217,3.8193,3.8169,3.8146,3.8119,3.8096,3.8071,3.8046,3.8022,3.7998,3.7972,3.7945,3.7921,3.7892
9,4.1836,4.1837,3.9781,3.9613,3.9477,3.9371,3.9279,3.9195,3.912,3.905,3.8987,3.8927,3.8872,3.8821,3.8768,3.8723,3.8677,3.8634,3.8594,3.8552,3.8514,3.8475,3.8442,3.8404,3.8372,3.8337,3.8307,3.8274,3.8245,3.8215,3.8187,3.8160000000000003,3.8134,3.8105,3.8078,3.8051,3.8025,3.8001,3.7973,3.7947,3.7922,3.7894,3.7867,3.7839,3.7812,3.7784,3.7757,3.7725,3.7697,3.7668
