,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,3.4557,3.505,3.5205,3.4694,3.4588,3.4077,3.3894,3.4381,3.4536,3.5103,3.5314,3.4691,3.4592,3.3981,3.3767,3.4359,3.4551
1,3.4564,3.5004,3.5205,3.4697,3.4601,3.4089,3.3894,3.4399,3.4554,3.5137,3.5326,3.4719,3.4604,3.3981,3.3758,3.4368,3.4545
2,3.457,3.5081,3.5249,3.4725,3.4601,3.4083,3.3885,3.4396,3.4567,3.514,3.5342,3.4743,3.4604,3.3984,3.3754,3.4365,3.4564
3,3.4579,3.5084,3.5249,3.4731,3.461,3.4105,3.39,3.4409,3.4579,3.5109,3.5363,3.4753,3.461,3.3996,3.3782,3.4375,3.4557
4,3.4576,3.5091,3.5261,3.4734,3.4623,3.4089,3.3894,3.4412,3.4579,3.515,3.5373,3.4759,3.4616,3.4002,3.377,3.4371,3.4573
5,3.4592,3.5091,3.5289,3.4765,3.4629,3.4126,3.3872,3.4393,3.4595,3.5187,3.5398,3.4774,3.4629,3.3999,3.3748,3.4331,3.4585
6,3.4592,3.5038,3.5246,3.4743,3.4616,3.4064,3.3897,3.439,3.4576,3.5156,3.5336,3.4759,3.4619,3.4002,3.3773,3.4387,3.4576
7,3.4592,3.5115,3.5286,3.4756,3.4629,3.4099,3.3897,3.4421,3.4585,3.5187,3.5388,3.4768,3.4638,3.404,3.3767,3.4384,3.4582
8,3.4579,3.5103,3.5292,3.4737,3.4629,3.4114,3.3897,3.4415,3.4604,3.5159,3.5391,3.4778,3.4638,3.4006,3.3764,3.4396,3.4592
9,3.4607,3.5091,3.5224,3.4731,3.4613,3.4114,3.3906,3.4437,3.4576,3.5168,3.5339,3.474,3.4626,3.4024,3.3789,3.4415,3.4567
10,3.461,3.5131,3.5298,3.479,3.4647,3.4142,3.3897,3.4437,3.4607,3.5153,3.5407,3.479,3.4654,3.4006,3.3779,3.4396,3.4604
11,3.4632,3.5156,3.5357,3.4805,3.4672,3.4123,3.3882,3.4437,3.4619,3.5246,3.5469,3.4824,3.4672,3.4049,3.3751,3.4378,3.4623
12,3.4616,3.5134,3.5314,3.479,3.4647,3.4123,3.3913,3.4468,3.4613,3.5193,3.5419,3.4812,3.4641,3.4068,3.3782,3.4387,3.4613
13,3.4619,3.5146,3.5351,3.4805,3.4672,3.4105,3.39,3.4418,3.4623,3.5239,3.546,3.4827,3.4672,3.4027,3.3767,3.4402,3.4629
14,3.4629,3.5088,3.5336,3.4781,3.4669,3.4117,3.3906,3.4446,3.4616,3.5205,3.5435,3.4812,3.4672,3.4055,3.377,3.4393,3.4623
15,3.4607,3.5106,3.5298,3.4774,3.4635,3.4095,3.3913,3.4477,3.4616,3.515,3.5404,3.479,3.4638,3.403,3.3804,3.4412,3.4607
16,3.4641,3.5171,3.5363,3.4809,3.4663,3.413,3.3903,3.4455,3.4632,3.5243,3.5475,3.4812,3.4675,3.404,3.377,3.4396,3.4626
