,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,3.6492,3.6492,3.6982,3.7537,3.6957,3.6517,3.6058,3.5308,3.5897,3.6486,3.7487,3.8399,3.7242,3.6538,3.5466,3.4213,3.5267
1,3.6588,3.6588,3.7093,3.7633,3.7118,3.6613,3.6216,3.5379,3.5931,3.6582,3.7648,3.8464,3.745,3.6638,3.5621,3.4322,3.5342
2,3.6625,3.6622,3.7255,3.7748,3.7189,3.6693,3.6049,3.5394,3.6036,3.6619,3.7769,3.8631,3.7425,3.6712,3.5562,3.4285,3.55
3,3.6566,3.6563,3.7158,3.7729,3.7121,3.6594,3.5996,3.5137,3.5649,3.656,3.7661,3.8634,3.7413,3.6613,3.5472,3.3869,3.5103
4,3.6638,3.6638,3.7093,3.7732,3.7202,3.6669,3.6148,3.5357,3.5853,3.6631,3.7673,3.8569,3.7583,3.6687,3.5661,3.4254,3.5301
5,3.6142,3.6139,3.6616,3.7509,3.7028,3.617,3.5677,3.4204,3.4712,3.6135,3.705,3.8368,3.7422,3.6194,3.5215,3.2828,3.3779
6,3.6619,3.6616,3.71,3.7899,3.7403,3.665,3.6151,3.5019,3.5534,3.6607,3.7543,3.8805,3.7744,3.6678,3.5698,3.3776,3.4923
7,3.6625,3.6625,3.7217,3.7713,3.71,3.6653,3.6104,3.541,3.6033,3.6619,3.7782,3.8616,3.7344,3.6681,3.5413,3.43,3.5385
8,3.6622,3.6622,3.714,3.7785,3.7239,3.665,3.6163,3.5261,3.5841,3.6616,3.7658,3.8671,3.762,3.6672,3.5704,3.4111,3.527
9,3.6306,3.6309,3.674,3.7465,3.7034,3.6337,3.5984,3.4883,3.5373,3.6303,3.7248,3.8284,3.7354,3.6362,3.5416,3.3751,3.47
10,3.6644,3.6644,3.7056,3.7735,3.7236,3.6669,3.6256,3.5261,3.5711,3.6635,3.7589,3.8547,3.7577,3.6687,3.5732,3.4074,3.5001
11,3.6573,3.6573,3.7053,3.7707,3.7174,3.66,3.6061,3.5196,3.5819,3.6566,3.7664,3.8606,3.741,3.6619,3.5481,3.3944,3.5174
12,3.6566,3.6566,3.7162,3.7682,3.7152,3.6594,3.6039,3.5187,3.5692,3.656,3.7651,3.8575,3.7512,3.6613,3.5429,3.3919,3.5131
13,3.5918,3.5918,3.6495,3.7047,3.6483,3.5956,3.5509,3.4638,3.5159,3.5912,3.6988,3.7952,3.6833,3.5987,3.4787,3.3503,3.4737
14,3.6635,3.6635,3.7196,3.7698,3.7168,3.6662,3.608,3.5425,3.6033,3.6628,3.7673,3.8569,3.7475,3.6684,3.5543,3.4325,3.5497
15,3.6303,3.6303,3.6771,3.7624,3.7118,3.6331,3.5838,3.4486,3.4998,3.6297,3.718,3.8476,3.7534,3.6356,3.5373,3.3169,3.4176
16,3.6548,3.6548,3.7072,3.7636,3.7096,3.6573,3.6033,3.5298,3.5881,3.6542,3.7509,3.851,3.7375,3.6597,3.5636,3.4195,3.5239
17,3.6628,3.6628,3.7174,3.811,3.7608,3.6656,3.6114,3.4626,3.5137,3.6622,3.749,3.9031,3.7934,3.6684,3.5599,3.3262,3.4297
18,3.6476,3.6476,3.6991,3.7397,3.6892,3.6507,3.5996,3.55,3.6036,3.647,3.7472,3.8188,3.7124,3.6529,3.5438,3.4561,3.5686
19,3.6631,3.6631,3.7053,3.7689,3.7193,3.6659,3.6126,3.5435,3.5999,3.6625,3.7673,3.8541,3.7428,3.6681,3.5528,3.4353,3.5531
20,3.6613,3.6613,3.714,3.7794,3.7286,3.6647,3.6092,3.5013,3.5593,3.6607,3.7726,3.8656,3.7549,3.6675,3.5546,3.3646,3.4728
21,3.6594,3.6594,3.7072,3.7769,3.7208,3.6625,3.6104,3.5029,3.5615,3.6585,3.7614,3.864,3.7493,3.6653,3.5673,3.3686,3.4815
22,3.6427,3.6427,3.6889,3.7434,3.6948,3.6455,3.6011,3.5283,3.5785,3.6421,3.7289,3.8247,3.7276,3.648,3.567,3.425,3.5227
23,3.6557,3.6557,3.71,3.771,3.7152,3.6588,3.6042,3.5115,3.5624,3.6551,3.7655,3.8612,3.7596,3.6607,3.5525,3.3816,3.4976
24,3.6514,3.6514,3.6976,3.7406,3.6917,3.6535,3.6021,3.5543,3.6042,3.6507,3.7549,3.8188,3.7202,3.6563,3.5518,3.461,3.5605
25,3.6631,3.6628,3.709,3.7726,3.7202,3.6659,3.6222,3.5348,3.5866,3.6622,3.7562,3.8572,3.7552,3.6678,3.5745,3.4232,3.5258
26,3.6684,3.6684,3.7202,3.7726,3.7158,3.6709,3.6132,3.5509,3.6018,3.6675,3.7875,3.8585,3.7568,3.6731,3.5562,3.444,3.546
27,3.648,3.648,3.7034,3.7558,3.7,3.6511,3.594,3.523,3.5797,3.6473,3.7624,3.8426,3.7317,3.6535,3.5379,3.412,3.5286
28,3.6563,3.6563,3.7038,3.7552,3.6985,3.6588,3.6052,3.5456,3.5956,3.6557,3.7574,3.8386,3.7217,3.661,3.5642,3.4418,3.5602
29,3.6427,3.6427,3.692,3.7943,3.7472,3.6455,3.5946,3.4269,3.4799,3.6421,3.7357,3.8836,3.78,3.648,3.5546,3.2831,3.3878
30,3.6371,3.6368,3.6948,3.7456,3.6873,3.6399,3.5853,3.5153,3.5711,3.6365,3.7431,3.8343,3.7273,3.6424,3.532,3.4043,3.5137
31,3.6591,3.6588,3.7028,3.75,3.7025,3.661,3.6148,3.558,3.6024,3.6585,3.7555,3.8271,3.736,3.6628,3.5726,3.4638,3.567
32,3.6501,3.6501,3.7003,3.772,3.7227,3.6538,3.5974,3.4836,3.5308,3.6492,3.7627,3.8591,3.7453,3.6566,3.5549,3.3451,3.4601
33,3.6625,3.6625,3.7031,3.7822,3.7351,3.665,3.6173,3.5072,3.563,3.6619,3.7475,3.8687,3.7673,3.6675,3.5559,3.3798,3.4781
34,3.6104,3.6104,3.6554,3.7224,3.6749,3.6139,3.5636,3.4669,3.519,3.6095,3.6951,3.8067,3.6932,3.6166,3.5038,3.3426,3.4477
35,3.6535,3.6535,3.7072,3.7692,3.7155,3.656,3.6077,3.5004,3.5528,3.6529,3.7596,3.8547,3.7441,3.6579,3.5717,3.3705,3.4663
36,3.6421,3.6421,3.6845,3.7462,3.6948,3.6449,3.6061,3.5227,3.5673,3.6414,3.7366,3.8281,3.7301,3.647,3.5655,3.417,3.5236
37,3.8523,3.8523,3.9034,3.9202,3.8653,3.8541,3.7983,3.7862,3.8436,3.8519,3.9515,3.9868,3.8792,3.856,3.745,3.7196,3.8349
38,3.7831,3.7831,3.8364,3.8575,3.8089,3.785,3.732,3.7065,3.7602,3.7825,3.8671,3.9276,3.82,3.7865,3.6901,3.629,3.7258
39,3.8464,3.8464,3.8891,3.9074,3.856,3.8479,3.7977,3.7862,3.8355,3.8457,3.9319,3.9679,3.865,3.8492,3.7503,3.7251,3.8244
40,3.3503,3.3503,3.3733,3.3916,3.368,3.3522,3.3277,3.3063,3.3311,3.3494,3.3981,3.4288,3.381,3.3541,3.3072,3.257,3.3045
41,3.3866,3.3866,3.4071,3.4188,3.395,3.3878,3.3668,3.3547,3.3782,3.3863,3.4281,3.4499,3.4037,3.3891,3.3404,3.3212,3.3671
42,3.2381,3.2381,3.2641,3.2905,3.2641,3.2418,3.2145,3.1783,3.2068,3.2375,3.2908,3.3342,3.2793,3.2446,3.1947,3.1085,3.1637
43,3.2731,3.2731,3.3001,3.3231,3.2973,3.2759,3.2505,3.2152,3.24,3.2728,3.3249,3.3665,3.3175,3.2784,3.2288,3.147,3.1984
44,3.5066,3.5063,3.5258,3.5289,3.51,3.5078,3.4883,3.4846,3.5041,3.506,3.5447,3.5515,3.5131,3.5088,3.47,3.4629,3.5019
45,3.5022,3.5022,3.5221,3.5255,3.506,3.5035,3.4843,3.4805,3.5001,3.5019,3.5413,3.5481,3.5097,3.5047,3.4654,3.4585,3.4973
46,3.6566,3.6566,3.7038,3.7611,3.7016,3.6597,3.6018,3.5379,3.5977,3.656,3.7565,3.8451,3.74,3.6619,3.5593,3.4312,3.5494
47,3.5044,3.5041,3.5233,3.5274,3.5081,3.5057,3.4861,3.4827,3.5016,3.5041,3.5432,3.55,3.5119,3.5069,3.4678,3.461,3.4991
48,3.5004,3.5004,3.5205,3.5236,3.5041,3.5019,3.4815,3.4781,3.4976,3.5001,3.5401,3.5472,3.5075,3.5029,3.4629,3.4557,3.4954
49,3.674,3.674,3.6907,3.6938,3.678,3.6755,3.6588,3.6554,3.6718,3.6737,3.7069,3.7131,3.6808,3.6762,3.6445,3.6368,3.6697
50,3.6579,3.6576,3.7025,3.7906,3.7329,3.661,3.6139,3.4898,3.5478,3.6566,3.767,3.8826,3.776,3.6631,3.5531,3.3634,3.4663
51,3.4201,3.4198,3.439,3.4511,3.4263,3.4216,3.3975,3.3897,3.4136,3.4195,3.4632,3.4815,3.4322,3.4229,3.3742,3.3593,3.4055
52,3.6579,3.6576,3.7025,3.7906,3.7329,3.661,3.6139,3.4898,3.5478,3.6566,3.767,3.8826,3.776,3.6631,3.5531,3.3634,3.4663
53,3.6625,3.6625,3.7189,3.7729,3.7196,3.665,3.6086,3.5354,3.5915,3.6619,3.7763,3.8588,3.7465,3.6675,3.5531,3.4275,3.536
