,0
0,2.459442
1,2.454828
2,2.44395
3,2.430269
4,2.427404
5,2.419256
6,2.418566
7,2.413259
8,2.407978
9,2.407059
10,2.394992
11,2.378246
12,2.378993
13,2.375473
14,2.373723
15,2.374156
16,2.36367
17,2.357925
18,2.349377
19,2.342942
20,2.334232
21,2.316352
22,2.333213
23,2.323186
24,2.315223
25,2.325592
26,2.319787
27,2.30364
28,2.301205
29,2.288699
30,2.274809
31,2.243034
32,2.243905
33,2.213565
34,2.196832
35,2.175201
36,2.169012
37,2.137623
38,2.102706
39,2.080508
40,2.080034
41,2.059304
42,2.039728
43,2.012649
44,1.992537
45,1.985946
46,1.957248
47,1.946924
48,1.927288
49,1.918804
50,1.908591
51,1.908629
52,1.890436
53,1.875037
54,1.861712
55,1.835947
56,1.824474
57,1.803407
58,1.792406
59,1.786384
60,1.763778
61,1.729526
62,1.701358
63,1.688736
64,1.67419
65,1.659871
66,1.64165
67,1.617821
68,1.600917
69,1.575594
70,1.557791
71,1.545373
72,1.534632
73,1.549085
74,1.52531
75,1.5212
76,1.5015
77,1.48845
78,1.485764
79,1.476232
80,1.461261
81,1.439851
82,1.423762
83,1.3825
84,1.356616
85,1.320873
86,1.264364
87,1.227726
88,1.19536
89,1.14361
90,1.127078
91,1.082035
92,1.071759
93,1.046227
94,2.454971
95,2.43291699999999
96,2.429784
97,2.421435
98,2.415667
99,2.413343
100,2.411557
101,2.402563
102,2.39259599999999
103,2.377247
104,2.371131
105,2.374933
106,2.369277
107,2.362352
108,2.36333199999999
109,2.348229
110,2.340331
111,2.343488
112,2.325774
113,2.317538
114,2.323451
115,2.320698
116,2.315791
117,2.318409
118,2.318006
119,2.30585
120,2.297055
121,2.309408
122,2.291016
123,2.279721
124,2.280607
125,2.268634
126,2.266473
127,2.254136
128,2.267265
129,2.252863
130,2.23463699999999
131,2.245142
132,2.236133
133,2.23985699999999
134,2.22262
135,2.232691
136,2.21457999999999
137,2.21137099999999
138,2.21272099999999
139,2.206431
140,2.201188
141,2.19971399999999
142,2.211781
143,2.200165
144,2.19998
145,2.178013
146,2.187947
147,2.175491
148,2.16690999999999
149,2.166688
150,2.163106
151,2.136743
152,2.118548
153,2.126421
154,2.125716
155,2.104299
156,2.097173
157,2.083513
158,2.085813
159,2.055849
160,2.040245
161,2.026036
162,2.028106
163,2.011284
164,1.974761
165,1.962625
166,1.950009
167,1.935814
168,1.92539199999999
169,1.885254
170,1.87430499999999
171,1.860522
172,1.83794199999999
173,1.81818
174,1.80247999999999
175,1.781093
176,1.74840999999999
177,1.751728
178,1.736777
179,1.72377
180,1.708651
181,1.689109
182,1.673072
183,1.657606
184,1.64051
185,1.63695599999999
186,1.62179
187,1.596623
188,1.578694
189,1.575395
190,1.560851
191,1.547579
192,1.54012
193,2.46164399999999
194,2.43952799999999
195,2.43813699999999
