,0
0,1.7619999999999998
1,1.7253
2,1.6895
3,1.6840000000000002
4,1.6485
5,1.6188
6,1.5891
7,1.5787
8,1.6207
9,1.4565
10,1.4267
11,1.4629
12,1.515
13,1.4733
14,1.4396
15,1.4927
16,1.544
17,1.5029
18,1.4333
19,1.3862
20,1.3775
21,1.4441
22,1.4291
23,1.3342
24,1.3482
25,1.3502
26,1.3064
27,1.306
28,1.3212
29,1.365
30,1.3773
31,1.3308
32,1.3249
33,1.3534
34,1.3867
35,1.3064
36,1.2985
37,1.3023
38,1.2832
39,1.3766
40,1.3364
41,1.3159
42,1.3261
43,1.2986
44,1.276
45,1.2664
46,1.3119999999999998
