,0
0,2.2593
1,2.2595
2,2.2814
3,2.2957
4,2.1547
5,2.3001
6,2.3114
7,2.214
8,2.2643
9,2.2277
10,2.3309
11,2.2681
12,2.274
13,2.2025
14,2.2737
15,2.2914
16,2.298
17,2.2027
18,2.259
19,2.2834
20,2.3904
21,2.3744
22,2.278
23,2.2806
24,2.2703
25,2.1311
26,2.2426
27,2.3189
28,2.2988
29,2.2002
30,2.2243
31,2.3163
32,2.3758
33,2.3538
34,2.3219
35,2.278
36,2.2864
37,2.2687
38,2.2002
39,2.2164
40,3.0087
41,2.9893
42,2.9965
43,2.9967
44,2.9179
45,2.893
46,2.285
47,2.8906
48,2.8418
49,2.9598
50,2.28
51,3.2081
52,2.2642
53,2.2941
